liga,url,Home_team,Away_team,id,fecha,1_Average,X_Average,2_Average,1_Highest,X_Highest,2_Highest,H_Average,A_Average,H_Highest,A_Highest,1X_Average,12_Average,X2_Average,1X_Highest,12_Highest,X2_Highest
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/cleveland-cavaliers-boston-celtics-vcMXAHxR/,Cleveland Cavaliers,Boston Celtics,14 May 2024_NBA_Cleveland Cavaliers_Boston Celtics,14 May 2024,4.13,17.00,1.25,4.40,17.00,1.25,6.01,1.14,6.28,1.14,4.00,1.03,1.20,4.00,1.03,1.20
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-denver-nuggets-lnOqvsp4/,Minnesota Timberwolves,Denver Nuggets,13 May 2024_NBA_Minnesota Timberwolves_Denver Nuggets,13 May 2024,1.60,15.50,2.42,1.63,16.00,2.50,1.57,2.49,1.61,2.55,1.48,1.04,2.40,1.48,1.04,2.40
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-new-york-knicks-2RTpI9o1/,Indiana Pacers,New York Knicks,12 May 2024_NBA_Indiana Pacers_New York Knicks,12 May 2024,1.52,15.50,2.68,1.56,16.00,2.70,1.43,2.94,1.47,3.05,1.44,1.03,2.50,1.44,1.03,2.50
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/cleveland-cavaliers-boston-celtics-IsYOCw8E/,Cleveland Cavaliers,Boston Celtics,12 May 2024_NBA_Cleveland Cavaliers_Boston Celtics,12 May 2024,3.15,16.50,1.38,3.25,17.00,1.40,3.55,1.31,3.60,1.32,3.00,1.03,1.31,3.00,1.03,1.31
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-MJ8SLDug/,Dallas Mavericks,Oklahoma City Thunder,11 May 2024_NBA_Dallas Mavericks_Oklahoma City Thunder,11 May 2024,1.84,15.50,2.01,1.87,16.00,2.05,1.83,2.01,1.87,2.10,1.74,1.04,1.87,1.74,1.04,1.87
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-denver-nuggets-hKUzt3Fi/,Minnesota Timberwolves,Denver Nuggets,11 May 2024_NBA_Minnesota Timberwolves_Denver Nuggets,11 May 2024,1.75,15.00,2.17,1.80,15.00,2.20,1.64,2.32,1.67,2.40,1.67,1.04,1.91,1.67,1.04,1.91
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-new-york-knicks-f1QxKVGl/,Indiana Pacers,New York Knicks,11 May 2024_NBA_Indiana Pacers_New York Knicks,11 May 2024,1.34,17.00,3.53,1.36,17.00,3.70,1.34,3.40,1.36,3.61,1.26,1.03,3.20,1.26,1.03,3.20
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-l6AKNZAt/,Oklahoma City Thunder,Dallas Mavericks,10 May 2024_NBA_Oklahoma City Thunder_Dallas Mavericks,10 May 2024,1.60,15.50,2.42,1.63,16.00,2.50,1.51,2.64,1.53,2.70,1.50,1.04,2.25,1.50,1.04,2.25
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-cleveland-cavaliers-jytwkzG7/,Boston Celtics,Cleveland Cavaliers,10 May 2024_NBA_Boston Celtics_Cleveland Cavaliers,10 May 2024,1.21,19.00,4.63,1.24,19.00,4.75,1.12,6.84,1.13,7.04,1.17,1.03,4.20,1.17,1.03,4.20
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-york-knicks-indiana-pacers-CtNDPigR/,New York Knicks,Indiana Pacers,09 May 2024_NBA_New York Knicks_Indiana Pacers,09 May 2024,1.64,15.00,2.33,1.65,15.00,2.40,1.54,2.55,1.55,2.60,1.56,1.04,2.15,1.56,1.04,2.15
